function,generator,score
f2,random,5137.392886410782
f2,random,10234.687262738815
f2,random,1774.5060139615302
f2,random,1924.5214213554545
f2,random,10561.381443382696
f2,random,4751.133627353919
f2,random,27730.86938725204
f2,random,606814.1973417113
f2,random,9441.144888590059
f2,random,2413.4190298408275
f2,random,110149.14115333992
f2,random,14804.385135683502
f2,random,14564.477781689178
f2,random,9904.489063843792
f2,random,332.8449506119288
f2,random,463.2081067844448
f2,random,12973.320706356297
f2,random,7594.803010665063
f2,random,425.3193496847642
f2,random,738.5400041992698
f2,random,1549.8765782418088
f2,random,31926.592046153728
f2,random,24972.04656759907
f2,random,2863.6272603124316
f2,random,14793.660342785628
f2,random,246107.3229960006
f2,random,384.3570136908936
f2,random,4606.965433682601
f2,random,888.647282341662
f2,random,10297.769281319752
f2,numpy,16423.7120976082
f2,numpy,15322.594207624214
f2,numpy,4656.519501965484
f2,numpy,273.7669677737314
f2,numpy,23465.80899536439
f2,numpy,339.66527361460885
f2,numpy,1407.8666191273167
f2,numpy,24334.93466659893
f2,numpy,211.82517325439449
f2,numpy,843.0554370172009
f2,numpy,202.09069929360683
f2,numpy,297.40464603773734
f2,numpy,281.69787969363875
f2,numpy,5888.720004280887
f2,numpy,1009.7770355640384
f2,numpy,12260.854349567768
f2,numpy,4049.8224136922263
f2,numpy,200.00102160935143
f2,numpy,20890.360892429646
f2,numpy,639.2992524604714
f2,numpy,326.3792133642369
f2,numpy,22554.11209792812
f2,numpy,207.29936745873377
f2,numpy,1876.913949193437
f2,numpy,15246.667113505697
f2,numpy,992.3128435871566
f2,numpy,217.39535486553146
f2,numpy,2317.968219455784
f2,numpy,234.2365767906635
f2,numpy,8260.053297190881
f2,xoshiro,7512.3768620061755
f2,xoshiro,211.98765730932303
f2,xoshiro,257.2722707064357
f2,xoshiro,401.5889787743905
f2,xoshiro,233.67733857609667
f2,xoshiro,2918.8110732476184
f2,xoshiro,3474.9868248962825
f2,xoshiro,293.0622642710167
f2,xoshiro,13907.404160207023
f2,xoshiro,2428.83939970961
f2,xoshiro,18638.186473627637
f2,xoshiro,2340.743304033222
f2,xoshiro,2346.7853289136015
f2,xoshiro,5477.838892735323
f2,xoshiro,218.40409964804925
f2,xoshiro,197367.60434178074
f2,xoshiro,737.7550289865966
f2,xoshiro,4971.74184762895
f2,xoshiro,197360.60271383767
f2,xoshiro,126999.18135621274
f2,xoshiro,1701.722584707411
f2,xoshiro,7696.249290533739
f2,xoshiro,4245.999168263363
f2,xoshiro,80331.68538633107
f2,xoshiro,9996.671842737527
f2,xoshiro,24702.460163078504
f2,xoshiro,200.00466693406523
f2,xoshiro,9032.889474568996
f2,xoshiro,212.90190012750887
f2,xoshiro,2635.6755785482637
f2,sobol,304.0120674791667
f2,sobol,295.36983541276646
f2,sobol,29177.639627740195
f2,sobol,274.4451520929033
f2,sobol,1141.8866693554044
f2,sobol,8095.6512663496815
f2,sobol,267.3626220962343
f2,sobol,200.71916706127416
f2,sobol,6529.612019961314
f2,sobol,27204.699470829935
f2,sobol,410.7184645296165
f2,sobol,9358.558971160333
f2,sobol,4584.695559593056
f2,sobol,17614.390288803555
f2,sobol,5285.542859270394
f2,sobol,200.00114067414364
f2,sobol,41285.9832411764
f2,sobol,3539.291313473371
f2,sobol,637.7643814101276
f2,sobol,24577.414101423168
f2,sobol,5848.237398501172
f2,sobol,286.9441024557449
f2,sobol,8225.825073632515
f2,sobol,204.00661678087727
f2,sobol,4304.676569147008
f2,sobol,13503.132220904099
f2,sobol,1372.33626710126
f2,sobol,88617.98358456921
f2,sobol,1142.3865908000644
f2,sobol,2681.7972842720956
f2,halton,205591.5079864222
f2,halton,12734.22964747753
f2,halton,5571.565872143143
f2,halton,11236.453088080512
f2,halton,8291.086960137744
f2,halton,4049.4536276347294
f2,halton,1122.6344451515092
f2,halton,2830.6043734117516
f2,halton,3088.262387948206
f2,halton,200.004569937793
f2,halton,69561.69135846755
f2,halton,157888.35318053095
f2,halton,200.00495173831925
f2,halton,4272.400965589775
f2,halton,6888.989769153478
f2,halton,343.3253608957375
f2,halton,200.0018354100612
f2,halton,1087.4298473212118
f2,halton,34065.89623007168
f2,halton,9416.015346014286
f2,halton,17185.859502010884
f2,halton,350.72648045308915
f2,halton,291.32176628865557
f2,halton,10770.924237079127
f2,halton,28955.45038088251
f2,halton,21303.8653007454
f2,halton,200.0026539814166
f2,halton,1395.0585416414347
f2,halton,7326.138451984975
f2,halton,507.4099151092802
f2,lattice,2.9119587550268416e+21
f2,lattice,3.574359065941366e+20
f2,lattice,1.3632977204122613e+20
f2,lattice,1.2797654653746967e+18
f2,lattice,47512481402220.52
f2,lattice,7.422462141798166e+21
f2,lattice,1.0578774180702612e+21
f2,lattice,7.769050314633326e+17
f2,lattice,1.831808877110874e+21
f2,lattice,1.7163192673235994e+17
f2,lattice,5.8972286317724205e+19
f2,lattice,1.059802506445322e+21
